"","species","Name","ZoonoticStatus","ParStatus","ParGroup","Count","Degree"
"1",1,"araraquara_virus",1,"no_rank","RNA_virus",5,3
"2",2,"coxiella_burnetii",1,"species","Bacteria",5,3
"3",3,"juquitiba_virus",1,"species","RNA_virus",12,3
"4",4,"rodent_torque_teno_virus_5",0,"species","DNA_virus",1,1
"5",5,"vaccinia_virus",1,"species","DNA_virus",15,8
"6",6,"hantavirus_2063_biritiba_mirim",0,"species","RNA_virus",1,1
"7",7,"hantavirus_2070_biritiba_mirim",0,"species","RNA_virus",1,1
"8",8,"hantavirus_2071_biritiba_mirim",0,"species","RNA_virus",1,1
"9",9,"hantavirus_strain_akm6943",0,"species","RNA_virus",1,1
"10",10,"jabora_hantavirus",1,"no_rank","RNA_virus",15,2
"11",11,"leptospira_interrogans",1,"species","Bacteria",14,5
"12",12,"araucaria_virus",0,"species","RNA_virus",6,3
"13",13,"dengue_virus",1,"species","RNA_virus",1,1
"14",14,"yellow_fever_virus",1,"species","RNA_virus",59,15
"15",15,"zika_virus",1,"species","RNA_virus",5,4
"16",16,"rabies_lyssavirus",1,"species","RNA_virus",89,12
"17",17,"saint_louis_encephalitis_virus",1,"species","RNA_virus",12,6
"18",18,"alouatta_guariba_papillomavirus_1",0,"serotype","DNA_virus",1,1
"19",19,"chikungunya_virus",1,"species","RNA_virus",5,4
"20",20,"mayaro_virus",1,"species","RNA_virus",2,1
"21",21,"escherichia_coli",1,"species","Bacteria",9,7
"22",22,"mycobacterium_leprae",1,"species","Bacteria",6,2
"23",23,"oropouche_virus",0,"species","RNA_virus",1,1
"24",24,"yersinia_pestis",1,"species","Bacteria",6,1
"25",25,"borreliella_burgdorferi",1,"species","Bacteria",16,3
"26",26,"canine_morbillivirus",1,"species","RNA_virus",13,3
"27",27,"ehrlichia_canis",1,"species","Bacteria",41,2
"28",28,"klebsiella_pneumoniae",1,"species","Bacteria",2,1
"29",29,"pseudomonas_aeruginosa",1,"species","Bacteria",2,1
"30",30,"rickettsia_amblyommatis",0,"species","Bacteria",8,4
"31",31,"rickettsia_bellii",0,"species","Bacteria",14,4
"32",32,"rickettsia_parkeri",1,"species","Bacteria",22,6
"33",33,"rickettsia_rhipicephali",0,"species","Bacteria",8,5
"34",34,"rickettsia_rickettsii",1,"species","Bacteria",37,5
"35",35,"staphylococcus_aureus",1,"species","Bacteria",4,2
"36",36,"canine_mastadenovirus_a",0,"species","DNA_virus",2,2
"37",37,"human_adenovirus_sp.",0,"species","DNA_virus",2,2
"38",38,"bacillus_anthracis",1,"species","Bacteria",1,1
"39",39,"bacillus_cereus",1,"species","Bacteria",1,1
"40",40,"bacillus_mycoides",0,"species","Bacteria",1,1
"41",41,"bacillus_pumilus",0,"species","Bacteria",1,1
"42",42,"bacillus_thuringiensis",0,"species","Bacteria",1,1
"43",43,"ectobacillus_funiculus",0,"species","Bacteria",1,1
"44",44,"candidatus_mycoplasma_haemodidelphidis",0,"species","Bacteria",1,1
"45",45,"feline_morbillivirus",0,"species","RNA_virus",5,1
"46",46,"leptospira_biflexa",0,"species","Bacteria",1,1
"47",47,"leptospira_kirschneri",1,"species","Bacteria",2,2
"48",48,"opossum_torque_teno_virus",0,"species","DNA_virus",1,1
"49",49,"torque_teno_didelphis_albiventris_virus",0,"species","DNA_virus",1,1
"50",50,"hantavirus_2303_biritiba_mirim",0,"species","RNA_virus",1,1
"51",51,"hepatovirus_a",1,"species","RNA_virus",1,1
"52",52,"leptospira_noguchii",1,"species","Bacteria",1,1
"53",53,"eastern_equine_encephalitis_virus",1,"species","RNA_virus",8,2
"54",54,"rocio_virus",1,"no_rank","RNA_virus",2,1
"55",55,"bartonella_henselae",1,"species","Bacteria",11,2
"56",56,"atlantibacter_hermannii",0,"species","Bacteria",1,1
"57",57,"citrobacter_freundii",1,"species","Bacteria",1,1
"58",58,"enterobacter_cloacae",1,"species","Bacteria",2,2
"59",59,"enterococcus_casseliflavus",0,"species","Bacteria",2,2
"60",60,"enterococcus_faecalis",1,"species","Bacteria",2,2
"61",61,"klebsiella_aerogenes",1,"species","Bacteria",2,2
"62",62,"klebsiella_oxytoca",1,"species","Bacteria",1,1
"63",63,"kluyvera_cryocrescens",1,"species","Bacteria",1,1
"64",64,"leclercia_adecarboxylata",0,"species","Bacteria",1,1
"65",65,"providencia_alcalifaciens",1,"species","Bacteria",1,1
"66",66,"providencia_rettgeri",1,"species","Bacteria",1,1
"67",67,"raoultella_planticola",0,"species","Bacteria",1,1
"68",68,"serratia_marcescens",1,"species","Bacteria",1,1
"69",69,"dengue_virus_1",1,"no_rank","RNA_virus",3,3
"70",70,"dengue_virus_2",1,"no_rank","RNA_virus",3,3
"71",71,"dengue_virus_3",1,"no_rank","RNA_virus",3,3
"72",72,"dengue_virus_4",1,"no_rank","RNA_virus",3,3
"73",73,"icoaraci_virus",0,"no_rank","RNA_virus",1,1
"74",74,"ilheus_virus",1,"species","RNA_virus",3,3
"75",75,"simian_foamy_virus",1,"species","RNA_virus",1,1
"76",76,"tacaiuma_orthobunyavirus",1,"species","RNA_virus",1,1
"77",77,"carnivore_protoparvovirus_2",0,"species","DNA_virus",1,1
"78",78,"feline_calicivirus",0,"species","RNA_virus",3,2
"79",79,"hantavirus_2072_biritiba_mirim",0,"species","RNA_virus",1,1
"80",80,"andes_orthohantavirus",1,"species","RNA_virus",2,2
"81",81,"hantavirus_2036_biritiba_mirim",0,"species","RNA_virus",2,1
"82",82,"hantavirus_2062_biritiba_mirim",0,"species","RNA_virus",1,1
"83",83,"hantavirus_2064_biritiba_mirim",0,"species","RNA_virus",1,1
"84",84,"hantavirus_2315_biritiba_mirim",0,"species","RNA_virus",2,1
"85",85,"hantavirus_2319_biritiba_mirim",0,"species","RNA_virus",1,1
"86",86,"hantavirus_oln6469",0,"species","RNA_virus",1,1
"87",87,"hantavirus_oln6470",0,"species","RNA_virus",1,1
"88",88,"hantavirus_oln8057",0,"species","RNA_virus",1,1
"89",89,"juquitiba-like_virus_strain_on576",1,"no_rank","RNA_virus",2,1
"90",90,"bartonella_doshiae",0,"species","Bacteria",1,1
"91",91,"bartonella_vinsonii",0,"species","Bacteria",1,1
"92",92,"carnivore_protoparvovirus_5",0,"species","DNA_virus",1,1
"93",93,"felid_alphaherpesvirus_1",0,"species","DNA_virus",2,1
"94",94,"edwardsiella_tarda",1,"species","Bacteria",1,1
"95",95,"enterococcus_hirae",1,"species","Bacteria",1,1
"96",96,"hafnia_alvei",1,"species","Bacteria",1,1
"97",97,"pantoea_agglomerans",1,"species","Bacteria",1,1
"98",98,"pragia_fontium",0,"species","Bacteria",1,1
"99",99,"serratia_rubidaea",0,"species","Bacteria",1,1
"100",100,"bluetongue_virus",0,"species","RNA_virus",1,1
"101",101,"bovine_alphaherpesvirus_1",0,"species","DNA_virus",1,1
"102",102,"western_equine_encephalitis_virus",1,"species","RNA_virus",1,1
"103",103,"hantavirus_2306_biritiba_mirim",0,"species","RNA_virus",1,1
